date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,
23-Mar,80.1,74.4,55.9,39.1,66.3,83.1,72.4,52.7,0,45.2,54.1,67.7,34,58.6,68.8,52.8,49.7,,,,,
24-Mar,82.4,76.3,55.8,38.8,66.4,83.2,72.6,52.8,0.3,46.4,54.5,67.9,34.2,59.2,68.9,52.6,50.3,,,,,
25-Mar,64.9,76.7,57.4,38.8,66.7,83.3,72.8,52.9,0.4,46.8,56.2,68.1,34.1,59.3,70.3,51.9,51,,,,,
26-Mar,71.3,77.2,58,39.2,67.3,83.2,73,53.9,0.7,47,57,68.4,34.4,59.3,70.4,51.4,51.5,,,,,
27-Mar,76.7,78.3,58,40.2,67.3,83.7,73.4,53.8,0.2,47,57.8,70.1,35.1,59.7,70.7,51.8,51.5,,,,,
28-Mar,78.6,79,58.5,40,67.7,83.9,73.2,54.1,0,48.5,58.7,71.9,35.1,60.4,71,51.5,51.7,,,,,
29-Mar,79.9,79.5,58.9,41.5,68.3,84.7,72.9,54.8,0,48.1,61.6,72.9,35,62.2,72.9,50.9,51.8,,,,,
30-Mar,80.6,79.8,59,43.4,69.2,86.9,72.5,55.7,0,48.1,63.8,73.2,35,63.3,72.9,50.2,51.8,,,,,
31-Mar,80.9,80.4,59.9,43.4,73.6,87.7,72,56.8,0,48,63.5,74,34.9,64.7,72.8,49.8,51.7,,,,,
1-Apr,55,81,61.4,43.6,74.6,88.2,71.5,56.9,0,47.9,63,73.9,34.7,65.5,72.5,49.9,53.1,,,,,
2-Apr,55,81.1,62.6,43.6,74.1,89.2,71.1,56.8,0,47.8,63.3,73.9,34.5,65.3,72.7,50.2,53.2,,,,,
3-Apr,56.5,81.5,63.7,44.8,74.7,89.2,70.7,56.8,0,47.1,63.5,74,34.1,65.3,72.5,50.8,53.9,,,,,
4-Apr,55.2,81.7,64.1,46,74.8,89.6,70.1,57.3,0,46.4,63.4,74,35.2,65.6,72.8,53.5,54.2,,,,,
5-Apr,54.8,82.6,64.3,46.1,76.8,89.7,71.1,57.7,0,46.1,63.5,74.5,33.8,65.7,73.2,55.8,54.3,,,,,
6-Apr,54.1,82.6,65,46.5,77.9,89.9,66.7,58.8,0,45.2,64.9,76.4,33.7,66,72.9,58.6,54.4,,,,,
7-Apr,53.4,83.3,65.8,47.3,78.8,90.1,67.9,58.7,0,44.7,64.1,75.6,33.2,65.9,72.6,58.7,54.9,,,,,
8-Apr,52.3,83.9,66,48.5,78.9,90.1,68.6,58.5,0,44.4,64.4,76.2,33.1,66.2,73.5,58.7,54.4,,,,,
9-Apr,51.8,84.3,64.9,49.8,78.8,90.2,68.6,58.2,0,42.7,64.3,75.4,33.4,66.8,73.7,59.7,54.9,,,,,
10-Apr,53.4,84.4,64.1,50.2,79.3,89.5,68.6,57.3,0,41.1,64,73,33.1,66.8,74.3,60.2,55.6,,,,,
11-Apr,53.9,85,63.9,50.4,81.6,87.9,68.6,57,1,40.2,64.6,72.5,33.5,66.6,74.5,60,55,,,,,
12-Apr,52.8,85.2,64,50.5,82.1,87.7,68.9,56.9,1.3,40,64.5,72.5,34,66.5,74.4,60,55.4,,,,,
13-Apr,52.6,85.4,66.5,50.6,81.3,87.4,69.6,56.8,1.6,41,64.9,72.6,34.3,66.2,74.5,60.6,55.8,,,,,
14-Apr,52.9,84.9,66.5,50.8,81.3,86.9,70.2,56.5,2.1,40.9,65.5,74.2,34.8,65.9,74.6,60.5,55.9,,,,,
